month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,21,2026,15,PUNJAB,19574,17173,18,0,0,0,0,3,15
1,21,2026,16,RAJASTHAN,67628,49408,283,83,1,29,5,39,126
1,21,2026,17,TAMIL NADU,41658,39831,78,0,0,0,0,13,65
1,21,2026,18,TRIPURA,4327,4309,5,1,0,0,0,1,3
1,21,2026,19,UTTAR PRADESH,141688,136868,520,29,25,7,15,39,405
1,21,2026,20,UTTARAKHAND,16273,15413,1804,0,0,0,0,1582,222
1,21,2026,21,WEST BENGAL,81824,76741,1226,0,1,4,0,177,1044
1,22,2026,1,ANDHRA PRADESH,43218,42912,4,0,0,0,0,0,4
1,22,2026,2,ASSAM,43785,41285,4,0,1,0,0,0,3
1,22,2026,3,BIHAR,65961,59062,62,4,2,4,1,0,51
1,22,2026,4,DELHI,2793,2756,2,0,0,0,0,0,2
1,22,2026,5,GOA,1216,1216,102,2,0,0,0,99,1
1,22,2026,6,GUJARAT,32251,31734,79,3,0,29,1,3,43
1,22,2026,7,HARYANA,14197,13348,1,0,0,0,0,0,1
1,22,2026,8,HIMACHAL PRADESH,14416,8602,33,0,0,0,0,29,4
1,22,2026,9,MADHYA PRADESH,88192,85822,431,19,2,0,0,0,410
1,22,2026,10,MAHARASHTRA,83605,75343,560,0,7,168,0,223,162
1,22,2026,11,ODISHA,50354,26977,5,0,0,0,0,0,5
1,22,2026,12,PUDUCHERRY,427,427,1,0,0,0,0,0,1
1,22,2026,13,PUNJAB,19574,17505,10,0,0,0,0,1,9
1,22,2026,14,RAJASTHAN,67628,49951,270,91,1,24,5,31,118
1,22,2026,15,TAMIL NADU,41658,39794,61,1,0,0,0,12,48
1,22,2026,16,TRIPURA,4327,4316,4,0,0,0,0,0,4
1,22,2026,17,UTTAR PRADESH,141688,137880,434,30,21,12,22,28,321
1,22,2026,18,UTTARAKHAND,16273,15345,1667,0,0,0,0,1607,60
1,23,2026,1,A & N ISLANDS,325,325,4,0,0,0,0,4,0
1,23,2026,2,ANDHRA PRADESH,43218,43114,2,0,0,0,0,0,2
1,23,2026,3,DELHI,2793,2755,2,0,0,0,0,0,2
1,23,2026,4,GOA,1216,1169,35,0,0,0,0,35,0
1,23,2026,5,GUJARAT,32251,25617,167,0,0,18,0,105,44
1,23,2026,6,HIMACHAL PRADESH,14416,8368,43,0,0,0,0,29,14
1,23,2026,7,MADHYA PRADESH,88192,84906,433,20,0,0,0,3,410
1,23,2026,8,MAHARASHTRA,83605,76771,732,0,6,156,0,367,203
1,23,2026,9,ODISHA,50354,13041,10,0,0,0,0,0,10
1,23,2026,10,PUNJAB,19574,15777,181,0,0,0,0,159,22
1,23,2026,11,RAJASTHAN,67628,44497,23922,43,3,9,11,22,23834
1,23,2026,12,TAMIL NADU,41658,39431,204,0,0,0,0,148,56
1,23,2026,13,TRIPURA,4327,23,11,1,0,0,0,5,5
1,24,2026,1,ANDHRA PRADESH,43218,43166,8,0,0,0,0,0,8
1,24,2026,2,ASSAM,43785,39612,16,2,0,0,1,1,12
1,24,2026,3,BIHAR,65961,56842,271,4,3,13,7,0,244
1,24,2026,4,DELHI,2793,2790,33,0,0,0,0,0,33
1,24,2026,5,DNH & DD,304,303,1,0,0,0,0,1,0
1,24,2026,6,GOA,1216,1185,42,1,0,0,0,40,1
1,24,2026,7,GUJARAT,32251,31510,63,0,1,36,0,0,26
1,24,2026,8,HIMACHAL PRADESH,14416,7443,46,3,0,0,3,26,14
1,24,2026,9,MADHYA PRADESH,88192,79561,393,33,0,2,0,1,357
1,24,2026,10,MAHARASHTRA,83605,74588,642,0,8,118,0,295,221
1,24,2026,11,ODISHA,50354,33063,14,0,0,0,0,0,14
1,24,2026,12,PUNJAB,19574,17053,15,0,0,0,0,3,12
1,24,2026,13,RAJASTHAN,67628,47210,3090,79,0,21,6,154,2830
1,24,2026,14,TRIPURA,4327,3740,92,3,0,0,0,48,41
1,24,2026,15,UTTAR PRADESH,141688,137036,425,6,1,1,3,3,411
1,24,2026,16,UTTARAKHAND,16273,901,3,0,0,0,0,2,1
1,24,2026,17,WEST BENGAL,81824,61361,9248,1,2,66,38,930,8211
1,25,2026,NA,NA,0,0,0,0,0,0,0,0,0
1,26,2026,1,HIMACHAL PRADESH,14416,76,1,0,0,0,0,1,0
1,26,2026,2,MADHYA PRADESH,88192,66109,276,18,0,0,0,1,257
1,26,2026,3,MAHARASHTRA,83605,1104,294,0,0,1,0,194,99
1,26,2026,4,ODISHA,50354,27131,15,0,0,0,0,0,15
1,26,2026,5,RAJASTHAN,67628,8296,8147,9,2,3,24,2345,5764
1,26,2026,6,TRIPURA,4327,11,6,0,0,0,0,2,4
1,26,2026,7,UTTARAKHAND,16273,7363,397,0,0,0,0,357,40
1,27,2026,1,ANDHRA PRADESH,43218,42862,3,0,0,0,0,0,3
1,27,2026,2,BIHAR,65961,59542,36,6,0,6,1,0,23
1,27,2026,3,DELHI,2793,2761,3,0,0,0,0,1,2
1,27,2026,4,GOA,1216,1216,20,0,0,0,0,20,0
1,27,2026,5,GUJARAT,32251,31801,68,2,0,28,0,6,32
1,27,2026,6,HARYANA,14197,1242,3,0,0,0,0,2,1
1,27,2026,7,HIMACHAL PRADESH,14416,6977,34,0,0,0,0,29,5
1,27,2026,8,MADHYA PRADESH,88192,85022,443,26,1,3,1,1,411
1,27,2026,9,MAHARASHTRA,83605,77935,555,0,6,124,0,296,129
1,27,2026,10,MANIPUR,3292,2165,1,1,0,0,0,0,0
1,27,2026,11,MIZORAM,2481,1637,4,0,0,0,0,0,4
1,27,2026,12,RAJASTHAN,67628,49579,7617,84,1,28,24,2088,5392
1,27,2026,13,TAMIL NADU,41658,39841,62,0,0,0,0,22,40
1,27,2026,14,TRIPURA,4327,4316,5,1,0,0,0,0,4
1,27,2026,15,UTTAR PRADESH,141688,137243,541,38,21,6,19,21,436
1,27,2026,16,UTTARAKHAND,16273,10651,754,0,0,0,0,725,29
1,27,2026,17,WEST BENGAL,81824,76605,1582,4,1,29,1,186,1361
1,28,2026,1,ANDHRA PRADESH,43218,43014,3,0,0,0,0,0,3
1,28,2026,2,ASSAM,43785,39997,26,2,0,1,0,0,23
1,28,2026,3,BIHAR,65961,59671,28,4,0,4,4,0,16
1,28,2026,4,CHANDIGARH,116,116,4,0,0,0,0,0,4
1,28,2026,5,DELHI,2793,2692,2,0,0,0,0,0,2
1,28,2026,6,GOA,1216,1216,32,1,0,0,0,31,0
1,28,2026,7,GUJARAT,32251,31614,85,3,0,31,0,6,45
